"sample_id,price"
"1,22.07"
"3,26.01"
"9,15.3"
"19,6.23"
"20,21.33"
"21,14.2"
"23,16.31"
"25,13.07"
"27,12.34"
"28,12.69"
"29,9.93"
"45,15.41"
"48,17.8"
"50,12.56"
"55,13.49"
"57,11.09"
"58,13.02"
"61,20.79"
"62,19.78"
"63,23.14"
"65,11.21"
"67,11.42"
"71,14.33"
"82,10.34"
"86,44.03"
"90,9.27"
"99,12.31"
"100,12.59"
"102,10.87"
"104,16.72"
"116,10.94"
"125,9.73"
"127,12.13"
"134,15.32"
"135,6.56"
"140,9.65"
"154,9.09"
"158,20.76"
"160,11.59"
"165,18.13"
"171,16.7"
"173,13.11"
"176,6.25"
"179,10.74"
"187,4.05"
"190,8.93"
"191,13.82"
"193,16.71"
"194,15.95"
"199,6.97"
"202,13.89"
"205,10.03"
"206,9.96"
"210,7.13"
"212,4.5"
"214,5.64"
"216,6.89"
"218,15.0"
"223,4.19"
"228,9.95"
"231,28.85"
"232,19.75"
"234,15.32"
"243,16.69"
"252,11.56"
"253,14.49"
"255,14.26"
"257,16.25"
"259,8.66"
"263,16.22"
"266,21.08"
"281,17.54"
"291,5.88"
"300,21.96"
"311,10.93"
"316,14.43"
"322,14.07"
"324,13.66"
"325,13.13"
"328,3.99"
"330,5.13"
"332,4.62"
"335,9.4"
"339,4.5"
"342,8.78"
"344,9.81"
"347,6.53"
"365,18.96"
"375,7.28"
"379,29.87"
"405,25.24"
"410,23.29"
"421,19.03"
"422,13.7"
"424,18.34"
"426,13.98"
"430,27.85"
"435,27.88"
"437,13.23"
"441,14.31"
"442,11.94"
"443,21.33"
"444,11.96"
"446,17.77"
"448,10.39"
"449,40.0"
"451,21.23"
"453,6.1"
"454,19.5"
"461,13.32"
"463,11.69"
"464,11.59"
"467,17.69"
"468,9.03"
"477,19.01"
"478,12.92"
"479,6.4"
"481,6.76"
"486,4.82"
"487,5.12"
"492,14.79"
"496,12.86"
"497,23.32"
"507,12.33"
"514,11.68"
"520,12.34"
"525,9.54"
"530,13.57"
"531,11.29"
"532,24.23"
"533,17.75"
"535,18.34"
"537,24.02"
